Ticker , Date,open,close, Volume, High, Low, PercentageChange
AMD, 2020-03-08,111.98,-6.3,80856174,46.34,42.51,0.557750407
ADBE, 2020-03-09,459.08,-12.1,76228247,45.44,43.1,0.066064743
ABNB, 2020-03-10,151.69,-5.84,102319010,45.97,43.8,3.417062684
ALGN, 2020-03-11,477.45,-18.69,107461521,42.5,39,7.119047619
AMZN, 2020-03-12,2,957.97,86689681,43.91,39.6,4.028436019
AMGN, 2020-03-15,232.64,4.05,84545868,43.37,38.51,0.946775844
AEP, 2020-03-16,93.98,2.74,92741881,42.88,38.3,4.205026126
ADI, 2020-03-17,159.28,-0.54,106949287,41.95,36.75,1.062215478
ANSS, 2020-03-18,316.24,-7.01,88939024,41.7,37.69,0.657229525
AAPL, 2020-03-19,166.23,-0.33,106859502,42.4825,39.58,4.577210311
AMAT, 2020-03-22,130.64,-2.54,101704663,42.32,38.95,2.511078287
ASML, 2020-03-23,630.79,-24.58,106794151,46.81,43.99,4.950045413
TEAM, 2020-03-24,286.88,-22.4,93760389,47.875,44.425,4.616371019
ADSK, 2020-03-25,210,-6.51,73915608,47.5,45.4,3.75709917
ATVI, 2020-03-26,81.5,0.02,74599218,47.975,45.9,0.561312608
ADP, 2020-03-29,204.7,-1.59,68486602,48.46,46.66,1.312447079
AZN, 2020-03-30,60.07,-1.93,83483749,48.53,45.16,5.10172144
AVGO, 2020-03-31,578.6,-7.18,92083081,46.85,43.16,1.177003169
BIDU, 2020-04-01,155.19,-5.38,79024133,45.28,43.1,2.511520737
BIIB, 2020-04-02,211.23,3.44,79334966,44.8393,41.7,3.860045147
BMRN, 2020-04-05,75.43,-2.72,82293964,47.58,44.06,7.268623025
BKNG, 2020-04-06,2,102.06,102098689,49.65,46.675,2.859477124
CDNS, 2020-04-07,153.94,-3.52,64930779,49,47.61,1.497815685
CHTR, 2020-04-08,561.82,-9.17,80357393,50.25,47.72,2.557905337
CPRT, 2020-04-12,121.24,-1.62,64248112,51.07,48.23,5.09593563
CRWD, 2020-04-13,191.02,-10.73,85306750,55.14,52.11,5.159375897
CTAS, 2020-04-14,378.41,-2.58,83814033,55.5699,53.41,2.345058626
CSCO, 2020-04-15,56.07,-0.08,103106456,58.08,55.63,1.769120801
CMCSA, 2020-04-16,47.12,0.74,76908783,57.755,55.55,1.307759372
COST, 2020-04-19,533.05,5.05,72367258,58.63,55.85,1.768488746
CSX, 2020-04-20,35.29,0.68,123906390,57.73,51.41,6.994727592
CTSH, 2020-04-21,87.93,-0.26,63162386,56.15,54.34,1.83937352
DDOG, 2020-04-22,148.46,-16.02,69648827,57.285,55.64,1.3239188
DOCU, 2020-04-23,108.66,-5.74,72854752,56.78,54.42,1.960072595
