,ticker,name,open,close,change,% change,city,state,country,latitude,longitude
0,AMD,Advanced Micro Devices Inc,111.98,-6.3,,,Santa Clara,CA,US,37.2333253,-121.6846349
1,ADBE,Adobe Inc.,459.08,-12.1,,,San Jose,CA,US,37.3361905,-121.890583
2,ABNB,Airbnb Inc,151.69,-5.84,,,San Francisco,CA,US,37.7790262,-122.419906
3,ALGN,Align Technology Inc,477.45,-18.69,,,Tempe,AZ,US,33.4255056,-111.9400091
4,AMZN,Amazon.com Inc,2.0,957.97,,,Seattle,WA,US,47.6038321,-122.3300624
5,AMGN,Amgen Inc,232.64,4.05,,,Thousand Oaks,CA,US,34.1705609,-118.8375937
6,AEP,American Electric Power Company Inc,93.98,2.74,,,Columbus,OH,US,39.9622601,-83.0007065
7,ADI,Analog Devices Inc,159.28,-0.54,,,Norwood,MA,US,42.194543,-71.1994976
8,ANSS,ANSYS Inc,316.24,-7.01,,,Canonsburg,PA,US,40.2625702,-80.1872797
9,AAPL,Apple Inc,166.23,-0.33,,,Capertino,CA,US,36.167269,-115.245979
10,AMAT,Applied Materials Inc,130.64,-2.54,,,Santa Clara,CA,US,37.2333253,-121.6846349
11,ASML,ASML Holding NV,630.79,-24.58,,,Veldhoven,NL,Netherlands,51.40770635,5.392731058176404
12,TEAM,Atlassian Corporation PLC,286.88,-22.4,,,Sydney,AUS,Australia,-33.91840985,150.99831672965283
13,ADSK,Autodesk Inc,210.0,-6.51,,,San Rafael,CA,US,37.9735346,-122.5310874
14,ATVI,Activision Blizzard Inc,81.5,0.02,,,San Monica,CA,US,34.084745,-118.3845421
15,ADP,Automatic Data Processing Inc,204.7,-1.59,,,Roseland,NJ,US,40.8206555,-74.2937595
16,AZN,AstraZeneca PLC,60.07,-1.93,,,Cambridge,UK,UK,52.2055314,0.1186637
17,AVGO,Broadcom Inc,578.6,-7.18,,,San Jose,CA,US,37.3361905,-121.890583
18,BIDU,Baidu Inc,155.19,-5.38,,,Beijing,CN,CH,39.906217,116.3912757
19,BIIB,Biogen Inc,211.23,3.44,,,Cambridge,MA,US,42.3750997,-71.1056157
20,BMRN,Biomarin Pharmaceutical Inc,75.43,-2.72,,,Novato,CA,US,38.1061979,-122.5681191
21,BKNG,Booking Holdings Inc,2.0,102.06,,,Norwalk,CT,US,41.1175966,-73.4078968
22,CDNS,Cadence Design Systems Inc,153.94,-3.52,,,San Jose,CA,US,37.3361905,-121.890583
23,CHTR,Charter Communications Inc,561.82,-9.17,,,Stamford,CT,US,41.0534302,-73.5387341
24,CPRT,Copart Inc,121.24,-1.62,,,Dallas,TX,US,32.7762719,-96.7968559
25,CRWD,CrowdStrike Holdings Inc,191.02,-10.73,,,Austin,TX,US,30.2711286,-97.7436995
26,CTAS,Cintas Corp,378.41,-2.58,,,Cincinnati,OH,US,39.1014537,-84.5124602
27,CSCO,Cisco Systems Inc,56.07,-0.08,,,San Jose,CA,US,37.3361905,-121.890583
28,CMCSA,Comcast Corp,47.12,0.74,,,Tupelo,MS,US,34.2576067,-88.7033859
29,COST,Costco Wholesale Corp,533.05,5.05,,,Issaquah,WA,US,47.5348778,-122.0432974
30,CSX,CSX Corp,35.29,0.68,,,Jacksonville,FL,US,30.3321838,-81.655651
31,CTSH,Cognizant Technology Solutions Corp,87.93,-0.26,,,Teaneck,NJ,US,40.8860164,-74.0072568
32,DDOG,Datadog Inc,148.46,-16.02,,,New York,NY,US,40.7127281,-74.0060152
33,DOCU,DocuSign Inc,108.66,-5.74,,,San Francisco,CA,US,37.7790262,-122.419906
34,DXCM,Dexcom Inc,423.95,3.87,,,San Diego,CA,US,32.7174202,-117.1627728
35,DLTR,Dollar Tree Inc,146.48,6.56,,,Chesapeake,VA,US,36.7183708,-76.2466798
36,EA,Electronic Arts,127.84,-1.42,,,Redwood City,CA,US,37.4863239,-122.232523
37,EBAY,eBay Inc,54.42,-0.67,,,San Jose,CA,US,37.3361905,-121.890583
38,EXC,Exelon Corp,43.13,0.37,,,Chicago,IL,US,41.8755616,-87.6244212
39,FAST,Fastenal Co,53.15,0.58,,,Winona,MN,US,43.9582272,-91.7807784
40,FB,Meta Platforms Inc,202.97,-5.14,,,Menlo Park,CA,US,37.4519671,-122.1779927
41,FISV,Fiserv Inc,98.63,-0.11,,,Brookfield,WI,US,43.0605671,-88.1064787
42,FTNT,Fortinet Inc,336.35,-8.46,,,Sunnyvale,CA,US,37.3688301,-122.036349
43,GILD,Gilead Sciences Inc,61.71,0.47,,,Foster City,CA,US,37.5600336,-122.2688522
44,GOOG,Alphabet Class C,2.0,686.16,,,Mountain View,CA,US,37.3893889,-122.0832101
45,GOOGL,Alphabet Class A,2.0,677.99,,,Mountain View,CA,US,37.3893889,-122.0832101
