Ticker,url
MNST,{"url":"monsterenergy.com"}
MSFT,{"url":"microsoft.com"}
MU,{"url":"catalent.com"}
NFLX,{"url":"netflix.com"}
NTES,{"url":"neteasegames.com"}
NVDA,{"url":"nvidia.com"}
NXPI,{"url":"nxp.com"}
OKTA,{"url":"okta.com"}
ODFL,{"url":"odfl.com"}
ORLY,{"url":"oreillyauto.com"}
PCAR,{"url":"paccar.com"}
PANW,{"url":"paloaltonetworks.com"}
PAYX,{"url":"paychex.com"}
PDD,{"url":"en.pinduoduo.com"}
PYPL,{"url":"investor.pypl.com"}
PEP,{"url":"pepsico.com"}
QCOM,{"url":"qualcomm.com"}
REGN,{"url":"regeneron.com"}
ROST,{"url":"rossstores.com"}
SIRI,{"url":"siriusxm.com"}
SGEN,{"url":"seagen.com"}
SPLK,{"url":"splunk.com"}
SWKS,{"url":"skyworksinc.com"}
SBUX,{"url":"starbucks.com"}
SNPS,{"url":"synopsys.com"}
TSLA,{"url":"tesla.com"}
TXN,{"url":"ti.com"}
TMUS,{"url":"t-mobile.com"}
VRSN,{"url":"verisign.com"}
VRSK,{"url":"verisk.com"}
VRTX,{"url":"vrtx.com"}
WBA,{"url":"walgreensbootsalliance.com"}
WDAY,{"url":"workday.com"}
XEL,{"url":"my.xcelenergy.com"}
ZM,{"url":"zoom.us"}
ZS,{"url":"zscaler.com"}
