ticker,revenue,size,url,sector
AAPL,over-1b,over-10k,apple.com,T
ABNB,200m-1b,5k-10k,airbnb.com,T
ADBE,1m-10m,over-10k,adobe.com,T
ADI,over-1b,over-10k,analog.com,T
ADP,over-1b,over-10k,adp.com,CD
ADSK,over-1b,over-10k,autodesk.com,H
AEP,over-1b,over-10k,aep.com,E
ALGN,200m-1b,over-10k,aligntech.com,T
AMAT,0,over-10k,appliedmaterials.com,T
AMD,over-1b,5k-10k,amd.com,T
AMGN,over-1b,over-10k,amgen.com,T
AMZN,over-1b,over-10k,amazon.com,T
ANSS,200m-1b,1k-5k,ansys.com,T
ASML,over-1b,over-10k,asml.com,T
ATVI,over-1b,5k-10k,activisionblizzard.com,T
AVGO,over-1b,over-10k,broadcom.com,T
AZN,over-1b,over-10k,astrazeneca.com,H
BIDU,over-1b,over-10k,ir.baidu.com,T
BIIB,over-1b,5k-10k,biogen.com,T
BKNG,0,0,bookkingholdings.com,H
BMRN,0,1k-5k,biomarin.com,H
CDNS,over-1b,5k-10k,cadence.com,T
CHTR,0,0,spectrum.com,T
CMCSA,over-1b,over-10k,xfinity.com,CM
COST,over-1b,over-10k,costco.com,CD
CPRT,over-1b,5k-10k,copart.com,T
CRWD,50m-100m,1k-5k,crowdstrike.com,I
CSCO,over-1b,over-10k,cisco.com,T
CSX,over-1b,over-10k,csx.com,CM
CTAS,over-1b,over-10k,cintas.com,CS
CTSH,over-1b,over-10k,cognizant.com,I
DDOG,50m-100m,1k-5k,datadoghq.com,T
DLTR,over-1b,over-10k,dollartree.com,T
DOCU,1m-10m,5k-10k,docusign.com,T
DXCM,200m-1b,5k-10k,dexcom.com,H
EA,over-1b,5k-10k,ea.com,CS
EBAY,0,200-500,ebay.com,T
EXC,over-1b,over-10k,exeloncorp.com,T
FAST,over-1b,over-10k,fastenal.com,I
FB,1m-10m,over-10k,facebook.com,I
FISV,over-1b,over-10k,fiserv.com,T
FTNT,1m-10m,5k-10k,fortinet.com,F
GILD,over-1b,over-10k,gilead.com,T
GOOG,over-1b,over-10k,google.com,H
GOOGL,over-1b,over-10k,google.com,T
HON,over-1b,over-10k,honeywell.com,T
IDXX,over-1b,5k-10k,idexx.com,I
ILMN,over-1b,5k-10k,illumina.com,H
INTC,over-1b,over-10k,intel.com,T
INTU,over-1b,5k-10k,intuit.com,T
ISRG,0,0,intuitive.com,H
JD,over-1b,500-1k,jd.com,T
KDP,0,over-10k,keurigdrpepper.com,H
KHC,over-1b,over-10k,kraftheinzcompany.com,CD
KLAC,0,0,kla.com,CS
LCID,1m-10m,1k-5k,lucidmotors.com,T
LRCX,over-1b,over-10k,lamresearch.com,CS
LULU,over-1b,over-10k,lululemon.com,T
MAR,over-1b,over-10k,marriott.com,T
MCHP,10m-50m,over-10k,microchip.com,CD
MDLZ,0,over-10k,mondelezinternational.com,T
MELI,200m-1b,5k-10k,mercadolibre.com,CD
MNST,over-1b,1k-5k,monsterenergy.com,CM
MRNA,50m-100m,500-1k,modernatx.com,T
MRVL,over-1b,5k-10k,marvell.com,CS
MSFT,over-1b,over-10k,microsoft.com,H
MTCH,0,1k-5k,mtch.com,CS
MU,over-1b,over-10k,catalent.com,T
NFLX,over-1b,5k-10k,netflix.com,T
NTES,0,0,neteasegames.com,T
NVDA,over-1b,over-10k,nvidia.com,T
NXPI,over-1b,over-10k,nxp.com,T
ODFL,over-1b,over-10k,odfl.com,T
OKTA,100m-200m,1k-5k,okta.com,T
ORLY,over-1b,over-10k,oreillyauto.com,I
PANW,200m-1b,5k-10k,paloaltonetworks.com,CD
PAYX,over-1b,over-10k,paychex.com,I
PCAR,over-1b,over-10k,paccar.com,T
PDD,over-1b,1k-5k,en.pinduoduo.com,I
PEP,over-1b,over-10k,pepsico.com,CD
PYPL,0,0,investor.pypl.com,F
QCOM,over-1b,over-10k,qualcomm.com,CS
REGN,over-1b,5k-10k,regeneron.com,T
ROST,over-1b,over-10k,rossstores.com,H
SBUX,over-1b,over-10k,starbucks.com,CD
SGEN,200m-1b,500-1k,seagen.com,CM
SIRI,over-1b,1k-5k,siriusxm.com,H
SNPS,over-1b,over-10k,synopsys.com,T
SPLK,200m-1b,5k-10k,splunk.com,T
SWKS,over-1b,5k-10k,skyworksinc.com,CD
TEAM,100m-200m,1k-5k,atlassian.com,T
TMUS,200m-1b,over-10k,t-mobile.com,CD
TSLA,over-1b,over-10k,tesla.com,T
TXN,over-1b,over-10k,ti.com,CM
VRSK,over-1b,5k-10k,verisk.com,T
VRSN,over-1b,500-1k,verisign.com,I
VRTX,over-1b,1k-5k,vrtx.com,H
WBA,0,over-10k,walgreensbootsalliance.com,H
WDAY,over-1b,over-10k,workday.com,T
XEL,0,over-10k,my.xcelenergy.com,U
ZM,100m-200m,1k-5k,zoom.us,T
ZS,100m-200m,1k-5k,zscaler.com,T
